name,country,city,description,courseTypes,costRange,weeklyFeeLow,weeklyFeeHigh,features,website,address,isFeatured,foundedYear,totalStudents,averageClassSize,japaneseRatio,nationalityCount,minimumAge,classroomCount,email,phone,nearestStation,latitude,longitude,languages,accreditations,facilities,accommodationTypes,airportPickup,minimumWeeks
Lexis English Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する。オーストラリア各地にキャンパスを持つLexis Englishの校舎。ケンブリッジ試験対策の高い合格率とビーチ近くのロケーションが人気。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週300〜460USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,conversation,intensive",standard,300,460,"small-class,activities,accommodation",https://www.lexisenglish.com/,"30-32 South Steyne, Manly NSW 2095",FALSE,2004,545,8,24,33,18,45,info@lexis-english-sydney.example.com,+61-7-6488-3976,Wynyard,-33.8711,151.218,english,,"wifi,lounge,study-room,library,kitchen","homestay,student-residence,shared-apartment",TRUE,2
Lexis English Brisbane,オーストラリア,ブリスベン,年間300日の晴天に恵まれたクイーンズランド州の温暖な州都に位置する。オーストラリア各地にキャンパスを持つLexis Englishの校舎。ケンブリッジ試験対策の高い合格率とビーチ近くのロケーションが人気。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週290〜440USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,conversation",standard,290,440,"small-class,activities,accommodation",https://www.lexisenglish.com/,"15 Adelaide Street, Brisbane QLD 4000",FALSE,2004,568,7,10,30,18,54,info@lexis-english-brisbane.example.com,+61-8-9108-8158,Central Station,-27.4742,153.0291,english,"neas,cambridge-english","wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,2
Lexis English Noosa,オーストラリア,ヌーサ,サンシャインコーストに位置する高級リゾート地で国立公園に隣接した自然豊かな街に位置する。オーストラリア各地にキャンパスを持つLexis Englishの校舎。ケンブリッジ試験対策の高い合格率とビーチ近くのロケーションが人気。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週290〜440USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,conversation",standard,290,440,"small-class,activities,accommodation",https://www.lexisenglish.com/,"6 Lanyana Way, Noosa Heads QLD 4567",FALSE,2004,298,6,22,32,16,33,info@lexis-english-noosa.example.com,+61-3-9777-3869,,-26.3514,153.1091,english,,"wifi,lounge,library,computer-lab,kitchen","homestay,student-residence",TRUE,2
Lexis English Byron Bay,オーストラリア,バイロンベイ,オーガニック志向とサーフカルチャーが融合したオーストラリア東端のビーチタウンに位置する。オーストラリア各地にキャンパスを持つLexis Englishの校舎。ケンブリッジ試験対策の高い合格率とビーチ近くのロケーションが人気。一般英語と会話力強化を中心に実践的なコミュニケーション力を養成。少人数制クラス、アクティビティ充実。授業料は週290〜430USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,conversation",standard,290,430,"small-class,activities",https://www.lexisenglish.com/,Byron Bay NSW 2481,FALSE,2004,570,10,12,36,18,38,info@lexis-english-byron-bay.example.com,+61-4-6225-5893,,-28.6413,153.6179,english,neas,"wifi,lounge,study-room,library,kitchen",,FALSE,2
Shafston International College Brisbane,オーストラリア,ブリスベン,年間300日の晴天に恵まれたクイーンズランド州の温暖な州都に位置する。ブリスベン川沿いの広大なキャンパスを持つShafston International Collegeの校舎。学校・寮・レストランが一体化した環境。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週280〜440USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,intensive",standard,280,440,"accommodation,activities,certificate",https://shafston.edu/,"46 Thorn Street, Kangaroo Point, Brisbane QLD 4169",FALSE,1996,572,15,12,23,18,25,info@shafston-international-college-brisbane.example.com,+61-8-8544-1301,Central Station,-27.4684,153.0347,english,,"wifi,lounge,library","homestay,student-residence,shared-apartment",TRUE,2
ILSC Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する。カナダ発の大手語学学校ILSCの校舎。130以上の選択科目から自由にカリキュラムをカスタマイズできる柔軟性が最大の魅力。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、資格取得対応。授業料は週310〜470USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,conversation,intensive",standard,310,470,"online-support,activities,accommodation,certificate",https://www.ilsc.com/,"Level 6, 55 Market Street, Sydney NSW 2000",FALSE,1991,479,11,25,29,18,29,info@ilsc-sydney.example.com,+61-3-9710-1154,Town Hall,-33.8613,151.2141,english,"neas,cambridge-english","wifi,lounge,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,1
ILSC Melbourne,オーストラリア,メルボルン,カフェ文化やストリートアートで知られるオーストラリアの文化首都に位置する。カナダ発の大手語学学校ILSCの校舎。130以上の選択科目から自由にカリキュラムをカスタマイズできる柔軟性が最大の魅力。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、アクティビティ充実。授業料は週300〜460USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,conversation",standard,300,460,"online-support,activities,accommodation",https://www.ilsc.com/,"Level 7, 120 Spencer Street, Melbourne VIC 3000",FALSE,1991,235,14,13,15,16,11,info@ilsc-melbourne.example.com,+61-7-7906-7614,Parliament,-37.8161,144.955,english,neas,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",FALSE,2
ILSC Brisbane,オーストラリア,ブリスベン,年間300日の晴天に恵まれたクイーンズランド州の温暖な州都に位置する。カナダ発の大手語学学校ILSCの校舎。130以上の選択科目から自由にカリキュラムをカスタマイズできる柔軟性が最大の魅力。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。オンライン学習サポート、宿泊手配対応、アクティビティ充実。授業料は週290〜450USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,conversation",standard,290,450,"online-support,activities,accommodation",https://www.ilsc.com/,"Level 1, 232 Adelaide Street, Brisbane QLD 4000",FALSE,1991,470,15,20,19,18,20,info@ilsc-brisbane.example.com,+61-8-7595-4051,South Bank,-27.4673,153.0168,english,cambridge-english,"wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,1
BROWNS English Language School Brisbane,オーストラリア,ブリスベン,年間300日の晴天に恵まれたクイーンズランド州の温暖な州都に位置する。オーストラリアのBROWNS English Language Schoolの校舎。独自のActive8メソッドで8つの英語スキルをバランスよく伸ばす。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。日本人スタッフ常駐、少人数制クラス、宿泊手配対応。授業料は週310〜470USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,intensive",standard,310,470,"small-class,activities,accommodation,japanese-staff",https://brownsenglish.edu.au/,"Level 1, 102 Adelaide Street, Brisbane QLD 4000",TRUE,2003,474,9,25,19,16,35,info@browns-english-language-school-brisbane.example.com,+61-2-7931-2664,South Bank,-27.4615,153.0239,english,neas,"wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,1
BROWNS English Language School Gold Coast,オーストラリア,ゴールドコースト,世界有数のサーフスポットとテーマパークが集まる人気リゾートに位置する。オーストラリアのBROWNS English Language Schoolの校舎。独自のActive8メソッドで8つの英語スキルをバランスよく伸ばす。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週300〜460USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,intensive",standard,300,460,"small-class,activities,accommodation",https://brownsenglish.edu.au/,"Level 1, 5-7 Short Street, Southport QLD 4215",FALSE,2003,275,7,25,33,18,26,info@browns-english-language-school-gold-coast.example.com,+61-2-9356-6188,,-28.0109,153.4276,english,neas,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,2
ELC (English Language Company) Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する語学学校。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。少人数制クラス、宿泊手配対応、資格取得対応。授業料は週300〜460USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,business,conversation",standard,300,460,"small-class,activities,accommodation,certificate",https://www.elc.edu.au/,"495 Kent Street, Sydney NSW 2000",FALSE,2003,209,10,13,16,16,13,info@elc-english-language-company-sydney.example.com,+61-3-8809-3489,Wynyard,-33.8617,151.2125,english,,"wifi,lounge,library,computer-lab,kitchen","homestay,student-residence",TRUE,2
Greenwich English College Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する。シドニーとメルボルンに校舎を持つGreenwich English Collegeの校舎。豊富なコースとリーズナブルな料金設定でワーホリに人気。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週250〜400USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,conversation",budget,250,400,"activities,accommodation,certificate",https://www.greenwichcollege.edu.au/,"Level 2, 396 Pitt Street, Sydney NSW 2000",FALSE,2005,112,12,22,12,18,6,info@greenwich-english-college-sydney.example.com,+61-7-9906-6536,Wynyard,-33.8607,151.2032,english,,"wifi,lounge,library","homestay,hostel",FALSE,2
Greenwich English College Melbourne,オーストラリア,メルボルン,カフェ文化やストリートアートで知られるオーストラリアの文化首都に位置する。シドニーとメルボルンに校舎を持つGreenwich English Collegeの校舎。豊富なコースとリーズナブルな料金設定でワーホリに人気。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、アクティビティ充実。授業料は週240〜390USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business",budget,240,390,"activities,accommodation",https://www.greenwichcollege.edu.au/,"Level 8, 120 Spencer Street, Melbourne VIC 3000",FALSE,2005,172,13,19,19,18,8,info@greenwich-english-college-melbourne.example.com,+61-4-6616-4974,Southern Cross,-37.8097,144.9657,english,"neas,cambridge-english,eaquals","wifi,lounge,library","homestay,hostel",TRUE,1
AICOL Gold Coast,オーストラリア,ゴールドコースト,世界有数のサーフスポットとテーマパークが集まる人気リゾートに位置する語学学校。一般英語と会話力強化を中心に実践的なコミュニケーション力を養成。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週250〜380USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,conversation",budget,250,380,"small-class,accommodation,activities",https://www.aicol.com.au/,"25 Waterford Court, Bundall QLD 4217",FALSE,2000,178,9,11,10,18,13,info@aicol-gold-coast.example.com,+61-8-9851-4440,,-27.9992,153.4362,english,neas,"wifi,lounge,study-room,library","homestay,hostel",TRUE,1
Inforum Education Gold Coast,オーストラリア,ゴールドコースト,世界有数のサーフスポットとテーマパークが集まる人気リゾートに位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。日本人スタッフ常駐、少人数制クラス、宿泊手配対応。授業料は週290〜440USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,conversation",standard,290,440,"small-class,japanese-staff,activities,accommodation",https://www.inforum.com.au/,"16 Scarborough Street, Southport QLD 4215",FALSE,2007,376,9,30,23,18,27,info@inforum-education-gold-coast.example.com,+61-2-8502-1717,,-27.9993,153.4311,english,neas,"wifi,lounge,study-room,library,kitchen","homestay,student-residence,shared-apartment",FALSE,1
Impact English College Melbourne,オーストラリア,メルボルン,カフェ文化やストリートアートで知られるオーストラリアの文化首都に位置する。メルボルンのImpact English Collegeの校舎。English Onlyポリシーを徹底しバリスタコースが大人気。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。少人数制クラス、資格取得対応、アクティビティ充実。授業料は週300〜460USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,conversation",standard,300,460,"small-class,activities,certificate",https://www.impactenglish.com.au/,"Level 2, 620 Bourke Street, Melbourne VIC 3000",FALSE,2008,241,7,16,28,18,22,info@impact-english-college-melbourne.example.com,+61-8-9234-6334,Flinders Street,-37.8166,144.9554,english,cambridge-english,"wifi,lounge,computer-lab",,TRUE,2
Cairns College of English & Business,オーストラリア,ケアンズ,グレートバリアリーフと熱帯雨林への玄関口として知られる北部の観光都市に位置する語学学校。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週250〜380USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。放課後のアクティビティや文化体験プログラムも充実している。経験豊富な講師陣と充実したカリキュラムで初心者から上級者まで幅広くサポートしている。,"general,exam-prep,conversation",budget,250,380,"small-class,activities,accommodation",https://www.cceb.qld.edu.au/,"27 Shields Street, Cairns QLD 4870",FALSE,1990,273,10,22,14,16,18,info@cairns-college-of-english-business.example.com,+61-8-7856-2365,,-16.8598,145.787,english,"neas,cambridge-english","wifi,lounge,library","homestay,hostel",TRUE,1
ILAC Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する。カナダ最大規模の語学学校ILACの校舎。70以上の大学との進学パスウェイを持ち75カ国以上から学生が集まる国際環境。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、資格取得対応。授業料は週290〜430USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",standard,290,430,"online-support,certificate,activities,accommodation",https://www.ilac.com/,"688 West Hastings Street, Vancouver BC V6B 1P1",TRUE,1997,401,11,10,78,18,24,info@ilac-vancouver.example.com,+1-372-8525849,Burrard,49.2738,-123.1283,english,"languages-canada,cambridge-english","wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,2
ILAC Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。カナダ最大規模の語学学校ILACの校舎。70以上の大学との進学パスウェイを持ち75カ国以上から学生が集まる国際環境。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、資格取得対応。授業料は週290〜430USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",standard,290,430,"online-support,certificate,activities,accommodation",https://www.ilac.com/,"920 Yonge Street, Toronto ON M4W 3C7",TRUE,1997,316,15,17,71,18,14,info@ilac-toronto.example.com,+1-348-2796348,Bathurst,43.6668,-79.4042,english,,"wifi,lounge,library,computer-lab","homestay,student-residence,shared-apartment",TRUE,2
ILSC Vancouver,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する。カナダ発の大手語学学校ILSCの校舎。130以上の選択科目から自由にカリキュラムをカスタマイズできる柔軟性が最大の魅力。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。日本人スタッフ常駐、オンライン学習サポート、宿泊手配対応。授業料は週280〜420USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,conversation,intensive",standard,280,420,"online-support,japanese-staff,activities,accommodation",https://www.ilsc.com/,"555 Richards Street, Vancouver BC V6B 2Z5",FALSE,1991,423,15,27,35,16,18,info@ilsc-vancouver.example.com,+1-547-8754719,Burrard,49.2773,-123.1254,english,,"wifi,lounge,study-room","homestay,student-residence,shared-apartment",TRUE,1
ILSC Toronto,カナダ,トロント,100以上の言語が飛び交う多文化都市でカナダ最大の経済・文化の中心地に位置する。カナダ発の大手語学学校ILSCの校舎。130以上の選択科目から自由にカリキュラムをカスタマイズできる柔軟性が最大の魅力。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。日本人スタッフ常駐、オンライン学習サポート、宿泊手配対応。授業料は週280〜420USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,conversation",standard,280,420,"online-support,japanese-staff,activities,accommodation",https://www.ilsc.com/,"443 University Avenue, Toronto ON M5G 2H6",FALSE,1991,245,12,30,32,18,13,info@ilsc-toronto.example.com,+1-908-6491009,Dundas,43.6702,-79.4048,english,,"wifi,lounge,study-room,library,kitchen","homestay,student-residence",TRUE,2
ILSC Montreal,カナダ,モントリオール,英語とフランス語が共存するバイリンガル都市でヨーロッパ風の街並みが美しいに位置する。カナダ発の大手語学学校ILSCの校舎。130以上の選択科目から自由にカリキュラムをカスタマイズできる柔軟性が最大の魅力。一般英語と会話力強化を中心に実践的なコミュニケーション力を養成。オンライン学習サポート、宿泊手配対応、アクティビティ充実。授業料は週270〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,conversation,intensive",standard,270,410,"online-support,activities,accommodation",https://www.ilsc.com/,"410 Rue St-Nicolas, Montreal QC H2Y 2P5",FALSE,1991,514,12,8,27,16,28,info@ilsc-montreal.example.com,+1-304-2989702,,45.4972,-73.5762,"english,french","languages-canada,ialc","wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",TRUE,2
VGC International College,カナダ,バンクーバー,海と山に囲まれた世界で最も住みやすい都市の一つとして知られるカナダ西海岸の港町に位置する。バンクーバーのVGC International Collegeの校舎。少人数制クラスと手厚い学生サポートで高い評価を受けている。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。日本人スタッフ常駐、少人数制クラス、宿泊手配対応。授業料は週280〜410USD（スタンダード帯）。治安が良く多文化が共存するワーキングホリデー人気国。,"general,exam-prep,business,intensive",standard,280,410,"small-class,japanese-staff,activities,accommodation",https://www.vgc.ca/,"411 West Hastings Street, Vancouver BC V6B 1L4",FALSE,2003,565,6,19,27,16,62,info@vgc-international-college.example.com,+1-648-6874419,Granville,49.275,-123.1173,english,"languages-canada,ialc","wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence,shared-apartment",FALSE,1
