slug,name,country,city,description,courseTypes,costRange,weeklyFeeLow,weeklyFeeHigh,features,website,address,isFeatured,foundedYear,totalStudents,averageClassSize,japaneseRatio,nationalityCount,minimumAge,classroomCount,email,phone,nearestStation,latitude,longitude,languages,accreditations,facilities,accommodationTypes,airportPickup,minimumWeeks
languagecoursenet-argentina-multiple-argentine-cit,LanguageCourse.net Argentina,アルゼンチン,Multiple Argentine cities,"<p>アルゼンチン・Multiple Argentine citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週33,480〜74,400円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,33480,74400,"activities,accommodation,small-class",https://www.languagecourse.net/schools--argentina.php3,,FALSE,,670,9,14,47,18,37,info@languagecourse-net-argentina.example.com,+54-73-9501-8606,,,,spanish,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
language-international-argentina-multiple-argentin,Language International Argentina,アルゼンチン,Multiple Argentine cities,"<p>アルゼンチン・Multiple Argentine citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週36,115〜58,125円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep,business",standard,36115,58125,"activities,small-class",https://www.languageinternational.com/spanish-schools-argentina,,FALSE,,395,8,14,38,16,24,info@language-international-argentina.example.com,+54-77-8106-2071,,,,spanish,other,"wifi,lounge,study-room,computer-lab",,FALSE,1
colombian-spanish-directory-multiple-colombian-cit,Colombian Spanish Directory,コロンビア,Multiple Colombian cities,"<p>コロンビア・Multiple Colombian citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週30,535〜42,470円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",budget,30535,42470,"activities,certificate",https://colombianspanish.co/,,FALSE,,216,11,2,43,16,9,info@colombian-spanish-directory.example.com,+57-48-8075-2077,,,,spanish,other,"wifi,lounge,study-room",,FALSE,1
language-international-mexico-multiple-mexican-cit,Language International Mexico,メキシコ,Multiple Mexican cities,"<p>メキシコ・Multiple Mexican citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週17,980〜50,685円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,intensive",budget,17980,50685,"activities,accommodation",https://www.languageinternational.com/spanish-schools-mexico,,FALSE,,322,11,10,42,18,14,info@language-international-mexico.example.com,+52-15-1016-8612,,,,spanish,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
spanish-school-mexico-directory-multiple-mexican-c,Spanish School Mexico Directory,メキシコ,Multiple Mexican cities,"<p>メキシコ・Multiple Mexican citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週20,150〜58,280円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",budget,20150,58280,"activities,accommodation,small-class",https://www.spanish-school.com.mx/spanish-mexico.php,,FALSE,,179,9,12,29,16,9,info@spanish-school-mexico-directory.example.com,+52-44-2663-5035,,,,spanish,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
centre-for-the-greek-language-thessaloniki-thessal,Centre for the Greek Language (Thessaloniki),ギリシャ,Thessaloniki,"<p>ギリシャ・Thessalonikiに位置するギリシャ語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なギリシャ語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週44,330〜65,100円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,exam-prep,business",standard,44330,65100,"activities,accommodation",,,FALSE,,725,11,9,31,18,32,info@centre-for-the-greek-language-thessaloniki.example.com,+30-55-1764-5382,,,,greek,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
school-of-modern-greek-language-aristotle-universi,School of Modern Greek Language (Aristotle University),ギリシャ,Thessaloniki,"<p>ギリシャ・Thessalonikiに位置するギリシャ語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なギリシャ語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週40,300〜72,540円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation,exam-prep",standard,40300,72540,"activities,accommodation,small-class,certificate",https://smg.web.auth.gr,,FALSE,1970,629,7,6,39,18,44,info@school-of-modern-greek-language-aristotle-universi.example.com,+30-96-6902-8738,,,,greek,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
modern-greek-language-teaching-centre-university-o,Modern Greek Language Teaching Centre (University of Athens),ギリシャ,アテネ,"<p>ギリシャ・アテネに位置するギリシャ語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なギリシャ語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週41,075〜78,120円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>",general,standard,41075,78120,"activities,accommodation",https://en.greekcourses.uoa.gr/,,FALSE,,634,10,9,37,18,31,info@modern-greek-language-teaching-centre-university-o.example.com,+30-99-8147-1340,,,,greek,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
asils-association-of-italian-language-schools-turi,ASILS - Association of Italian Language Schools,イタリア,Turin,"<p>イタリア・Turinに位置するイタリア語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なイタリア語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週33,170〜57,195円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>",general,standard,33170,57195,"activities,small-class",https://www.asils.it/en/,,FALSE,,630,6,6,17,16,52,info@asils-association-of-italian-language-schools.example.com,+39-48-1168-2581,,,,italian,other,"wifi,lounge,study-room,library,computer-lab",,FALSE,1
language-international-france-multiple-french-citi,Language International France,フランス,Multiple French cities,"<p>フランス・Multiple French citiesに位置するフランス語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なフランス語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週40,920〜67,270円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,intensive,business",standard,40920,67270,"activities,accommodation,small-class",https://www.languageinternational.com/french-schools-france,,FALSE,,728,9,7,22,18,40,info@language-international-france.example.com,+33-15-3284-2914,,,,french,other,"wifi,lounge,study-room","homestay,student-residence",TRUE,1
esl-language-schools-germany-multiple-german-citie,ESL Language Schools Germany,ドイツ,Multiple German cities,"<p>ドイツ・Multiple German citiesに位置するドイツ語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なドイツ語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週41,385〜57,970円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",standard,41385,57970,"activities,accommodation,small-class",https://www.esl-languages.com/en/courses-abroad/german/germany,,FALSE,,204,7,3,24,18,14,info@esl-language-schools-germany.example.com,+49-73-3888-3617,,,,german,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
language-international-germany-multiple-german-cit,Language International Germany,ドイツ,Multiple German cities,"<p>ドイツ・Multiple German citiesに位置するドイツ語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なドイツ語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週38,595〜58,435円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,38595,58435,"activities,accommodation",https://www.languageinternational.com/german-schools-germany,,FALSE,,757,11,9,39,16,34,info@language-international-germany.example.com,+49-79-6041-9186,,,,german,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
language-international-spain-multiple-spanish-citi,Language International Spain,スペイン,Multiple Spanish cities,"<p>スペイン・Multiple Spanish citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週32,085〜57,815円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,business",standard,32085,57815,"activities,accommodation,small-class",https://www.languageinternational.com/spanish-schools-spain,,FALSE,,613,10,6,39,18,30,info@language-international-spain.example.com,+34-35-4369-6187,,,,spanish,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
kyunghee-university-institute-of-international-edu,Kyunghee University Institute of International Education,韓国,ソウル,"<p>韓国・ソウルにある大学附属の韓国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な韓国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週48,050〜60,760円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており語学だけでなく文化理解も深められる。</p>","general,conversation",standard,48050,60760,"activities,small-class",https://www.khu.ac.kr/eng/user/contents/view.do?menuNo=300076,"Seoul, South Korea",FALSE,1997,1585,9,17,20,18,88,info@kyunghee-university-institute-of-international-edu.example.com,+82-75-5558-7046,,37.5593,126.9806,korean,other,"wifi,lounge,study-room,library,computer-lab,cafe","homestay,student-residence",FALSE,1
seoul-national-university-korean-language-culture-,Seoul National University - Korean Language & Culture Program (KLCP),韓国,ソウル,"<p>韓国・ソウルにある大学附属の韓国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な韓国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週32,860〜54,250円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>",general,standard,32860,54250,"activities,accommodation",,"Seoul, Korea",FALSE,,1278,10,17,39,16,63,info@seoul-national-university-korean-language-culture-.example.com,+82-23-2690-6133,,37.5737,126.9819,korean,other,"wifi,lounge,study-room,library,computer-lab,cafe","homestay,student-residence",TRUE,1
sogang-university-korean-language-education-center,Sogang University - Korean Language Education Center (KLEC),韓国,ソウル,"<p>韓国・ソウルにある大学附属の韓国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な韓国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週44,175〜68,355円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation,exam-prep,business",standard,44175,68355,"activities,accommodation",https://klec.sogang.ac.kr/?lang=eng,"Sinchon neighborhood, Mapo-gu, Seoul, Korea",FALSE,1990,1293,12,31,18,16,53,info@sogang-university-korean-language-education-center.example.com,+82-22-8529-1266,,37.5674,126.9706,korean,other,"wifi,lounge,study-room,computer-lab,library,cafe","homestay,student-residence",TRUE,1
taiwan-intensive-summer-and-semester-language-prog,TISLP 台灣暑期華語密集課程,台湾,Multiple cities,"<p>台湾・Multiple citiesにある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週29,140〜58,590円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep",budget,29140,58590,"activities,accommodation,certificate,japanese-staff",https://www.studyabroad.americancouncils.org/tislp,Tamkang University (Tamsui) and Shih Chien University (Taipei),FALSE,2010,1013,12,20,44,16,42,info@taiwan-intensive-summer-and-semester-language-prog.example.com,+886-76-8912-6706,,,,chinese,other,"wifi,lounge,study-room,library,computer-lab,cafe","homestay,student-residence",TRUE,1
national-kaohsiung-normal-university-center-of-lan,國立高雄師範大學語文教學中心,台湾,高雄,"<p>台湾・高雄にある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週23,250〜41,850円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation,business",budget,23250,41850,"activities,small-class,certificate,japanese-staff",,"Kaohsiung, Taiwan",FALSE,2003,491,9,22,39,18,27,info@national-kaohsiung-normal-university-center-of-lan.example.com,+886-17-1154-3807,,22.6345,120.3066,chinese,other,"wifi,lounge,study-room,computer-lab,library,cafe",,FALSE,1
national-taichung-university-of-education-chinese-,國立臺中教育大學華語文中心,台湾,台中,"<p>台湾・台中にある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週26,040〜60,605円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation,intensive",budget,26040,60605,"activities,small-class",https://clc.ntcu.edu.tw/en/,"Taichung, Taiwan",FALSE,2003,497,10,14,30,16,24,info@national-taichung-university-of-education-chinese-.example.com,+886-89-9625-5135,,24.1565,120.6672,chinese,other,"wifi,lounge,study-room,library,computer-lab,cafe",,FALSE,1
national-chung-hsing-university-chinese-language-c,國立中興大學華語中心,台湾,台中,"<p>台湾・台中にある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週19,065〜60,140円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation,exam-prep,business",budget,19065,60140,"activities,small-class",https://clc.nchu.edu.tw/en/,"145 Xingda Rd., Taichung 402, Taiwan",FALSE,2003,439,7,10,28,18,31,info@national-chung-hsing-university-chinese-language-c.example.com,+886-57-1990-8916,,24.1404,120.6762,chinese,other,"wifi,lounge,study-room,library,computer-lab,cafe",,FALSE,1
wenzao-ursuline-university-of-languages-chinese-la,文藻外語大學華語中心,台湾,高雄,"<p>台湾・高雄にある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週26,970〜61,690円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation",budget,26970,61690,"activities,accommodation,japanese-staff",https://c040e.wzu.edu.tw/,"Kaohsiung, Taiwan",FALSE,2002,1300,15,30,46,18,43,info@wenzao-ursuline-university-of-languages-chinese-la.example.com,+886-31-6770-3773,,22.6241,120.3067,chinese,other,"wifi,lounge,study-room,computer-lab,library,cafe","homestay,student-residence",TRUE,1
national-sun-yat-sen-university-chinese-language-c,國立中山大學華語教學中心,台湾,高雄,"<p>台湾・高雄にある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週30,845〜49,910円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation,exam-prep",budget,30845,49910,"activities,accommodation,japanese-staff",https://www.clcnsysu.tw/,"Fourth floor, International Research Building, Sizihwan, Kaohsiung, Taiwan",FALSE,1997,716,12,20,41,16,29,info@national-sun-yat-sen-university-chinese-language-c.example.com,+886-82-4625-3390,,22.6267,120.3082,chinese,other,"wifi,lounge,study-room,computer-lab,library,cafe","homestay,student-residence",TRUE,1
national-yang-ming-chiao-tung-university-chinese-l,國立陽明交通大學華語中心,台湾,新竹,"<p>台湾・新竹にある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週27,435〜40,300円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。放課後のアクティビティや文化体験プログラムも充実しており、語学だけでなく文化理解も深められる。</p>","general,conversation,intensive,business",budget,27435,40300,"activities,accommodation,certificate",,"No. 1001 Ta Hsueh Road, Hsinchu 30010, Taiwan",FALSE,2005,331,11,16,22,18,15,info@national-yang-ming-chiao-tung-university-chinese-l.example.com,+886-41-4350-7498,,,,chinese,other,"wifi,lounge,study-room,library,computer-lab,cafe","homestay,student-residence",TRUE,1
